frame_id,timestamp
0,1769792568.9160433
1,1769792568.956193
2,1769792568.991582
3,1769792569.0274777
4,1769792569.0630531
5,1769792569.0995793
6,1769792569.135883
7,1769792569.1717882
8,1769792569.2074394
9,1769792569.2427194
10,1769792569.2781782
11,1769792569.313877
12,1769792569.3495142
13,1769792569.3852856
14,1769792569.4210565
15,1769792569.4572291
16,1769792569.4937046
17,1769792569.5296297
18,1769792569.5654347
19,1769792569.6012511
20,1769792569.6369903
21,1769792569.6729214
22,1769792569.7090886
23,1769792569.7439787
24,1769792569.7796984
25,1769792569.8157477
26,1769792569.8519802
27,1769792569.8877804
28,1769792569.9234066
29,1769792569.9598136
30,1769792569.9947495
31,1769792570.0308332
32,1769792570.0663176
33,1769792570.1023116
34,1769792570.1382248
35,1769792570.174117
